date,device,hive number,hive humidity,hive temp,weather temp,weather humidity,queen presence,day,time
2022-06-25 15:04:12,1,4,33.58,34.2,30.64,37,0,25,15:04:12
2022-06-25 16:03:24,1,4,45.1,33.64,29.67,40,0,25,16:03:24
2022-06-25 17:02:27,1,4,44.19,32.46,28.65,41,0,25,17:02:27
2022-06-25 18:01:33,1,4,44.25,32.85,27.68,42,0,25,18:01:33
2022-06-25 19:00:41,1,4,54.16,32.77,25.82,43,0,25,19:00:41
2022-06-25 19:59:50,1,4,62.26,32.47,22.53,53,0,25,19:59:50
2022-06-25 20:58:57,1,4,67.06,32.47,19.53,65,0,25,20:58:57
2022-06-25 21:58:09,1,4,69.55,31.84,18.15,70,0,25,21:58:09
2022-06-25 22:57:22,1,4,70.86,31.37,17.04,74,0,25,22:57:22
2022-06-25 23:56:32,1,4,68.49,30.82,16.33,77,0,25,23:56:32
2022-06-26 00:55:43,1,4,68.36,30.23,15.55,80,0,26,00:55:43
2022-06-26 01:54:51,1,4,69.15,29.97,15.09,82,0,26,01:54:51
2022-06-26 02:54:05,1,4,73.83,29.55,14.54,83,0,26,02:54:05
2022-06-26 03:53:17,1,4,68.19,29.3,14.16,83,0,26,03:53:17
2022-06-26 04:52:33,1,4,67.76,28.86,14.14,84,0,26,04:52:33
2022-06-26 05:51:52,1,4,67.52,29.24,14.36,86,0,26,05:51:52
2022-06-26 06:51:08,1,4,66.14,29.38,15.1,87,0,26,06:51:08
2022-06-26 07:50:24,1,4,67.58,29.51,17.99,66,0,26,07:50:24
2022-06-26 08:49:49,1,4,60.96,30.94,20.01,62,0,26,08:49:49
2022-06-26 09:49:26,1,4,60.46,32.82,22.17,56,0,26,09:49:26
2022-06-26 10:48:55,1,4,53.75,35.52,25.71,41,0,26,10:48:55
2022-06-26 11:48:16,1,4,48.83,37.13,27.5,40,0,26,11:48:16
2022-06-26 12:47:25,1,4,36.61,37.14,28.87,40,0,26,12:47:25
2022-06-26 13:46:18,1,4,37.31,35.14,27.92,43,0,26,13:46:18
2022-06-26 14:45:27,1,4,51.47,34.63,28.47,45,0,26,14:45:27
2022-06-26 15:44:40,1,4,41.54,33.77,29.01,44,0,26,15:44:40
2022-06-26 16:43:48,1,4,49.17,33.43,29.25,45,0,26,16:43:48
2022-06-26 17:42:56,1,4,56.09,32.44,27.61,46,0,26,17:42:56
2022-06-26 18:42:02,1,4,57.38,32.24,25.5,52,0,26,18:42:02
2022-06-26 19:41:10,1,4,63.57,31.92,22.53,57,0,26,19:41:10
2022-06-26 20:40:16,1,4,67.71,31.42,19.32,68,0,26,20:40:16
2022-06-26 21:39:27,1,4,70.35,30.87,17.92,74,0,26,21:39:27
2022-06-26 22:38:40,1,4,78.26,30.4,16.88,79,0,26,22:38:40
2022-06-26 23:37:51,1,4,77.41,30.06,15.93,81,0,26,23:37:51
2022-06-27 00:37:09,1,4,76.63,29.86,15.18,83,0,27,00:37:09
2022-06-27 01:36:20,1,4,75.72,29.26,14.54,84,0,27,01:36:20
2022-06-27 02:35:34,1,4,69.63,28.83,14.49,85,0,27,02:35:34
2022-06-27 03:34:51,1,4,67.95,29.06,14.6,85,0,27,03:34:51
2022-06-27 04:34:04,1,4,70.78,29.09,14.96,85,0,27,04:34:04
2022-06-27 05:33:18,1,4,65.26,28.77,14.73,85,0,27,05:33:18
2022-06-27 06:32:32,1,4,68.64,28.81,14.84,85,0,27,06:32:32
2022-06-27 07:31:49,1,4,72.67,28.97,15.45,82,0,27,07:31:49
2022-06-27 08:31:09,1,4,68.98,29.34,17.7,72,0,27,08:31:09
2022-06-27 09:22:08,1,4,54.18,26.83,19.37,62,0,27,09:22:08
