date,device,hive number,hive humidity,hive temp,weather temp,weather humidity,queen presence,day,time
2022-07-12 05:07:55,1,4,70.57,24.85,15.18,84,1,12,05:07:55
2022-07-12 06:05:44,1,4,69.42,23.01,14.92,84,1,12,06:05:44
2022-07-12 07:04:56,1,4,81.27,25.75,15.23,84,1,12,07:04:56
2022-07-12 08:04:17,1,4,74.6,25.41,16.44,83,1,12,08:04:17
2022-07-12 09:03:41,1,4,63.48,27.56,18.49,72,1,12,09:03:41
2022-07-12 10:03:19,1,4,60.23,31.88,20.12,67,1,12,10:03:19
2022-07-12 11:02:27,1,4,53.14,35.58,22.8,56,1,12,11:02:27
2022-07-12 12:01:45,1,4,40.18,37.36,25.25,52,1,12,12:01:45
2022-07-12 13:01:21,1,4,32.4,36.9,26.6,49,1,12,13:01:21
2022-07-12 14:00:17,1,4,36.08,34.33,27.71,46,1,12,14:00:17
2022-07-12 15:01:47,1,4,38.15,32.51,27.84,47,1,12,15:01:47
2022-07-12 16:00:54,1,4,40.6,32.14,27.19,52,1,12,16:00:54
2022-07-12 17:00:05,1,4,42.38,31.23,26.39,53,1,12,17:00:05
2022-07-12 17:59:09,1,4,44.52,30.44,24.89,55,1,12,17:59:09
2022-07-12 18:58:16,1,4,44.75,29.15,23.38,59,1,12,18:58:16
2022-07-12 19:57:19,1,4,47.16,27.48,21.08,66,1,12,19:57:19
2022-07-12 20:56:25,1,4,66.91,28.32,18.65,74,1,12,20:56:25
2022-07-12 21:55:32,1,4,75.79,29.14,17.52,79,1,12,21:55:32
2022-07-12 22:54:41,1,4,82.44,28.4,16.86,81,1,12,22:54:41
2022-07-12 23:53:54,1,4,70.33,26.74,16.4,81,1,12,23:53:54
2022-07-13 00:53:05,1,4,69.5,25.99,16.07,82,1,13,00:53:05
2022-07-13 01:52:15,1,4,60.78,25.3,15.71,82,1,13,01:52:15
2022-07-13 02:51:31,1,4,84.37,25.91,15.43,83,1,13,02:51:31
2022-07-13 03:50:40,1,4,73.82,25.66,15.09,83,1,13,03:50:40
2022-07-13 04:49:50,1,4,76.44,25.51,14.85,84,1,13,04:49:50
2022-07-13 05:49:03,1,4,73.35,24.0,14.98,84,1,13,05:49:03
2022-07-13 06:48:17,1,4,84.67,24.55,15.19,82,1,13,06:48:17
2022-07-13 07:47:40,1,4,79.58,25.53,15.88,81,1,13,07:47:40
2022-07-13 08:47:04,1,4,67.1,27.27,17.69,77,1,13,08:47:04
2022-07-13 09:46:41,1,4,63.35,30.77,19.98,68,1,13,09:46:41
2022-07-13 10:45:50,1,4,57.14,33.66,22.25,61,1,13,10:45:50
2022-07-13 11:45:19,1,4,47.32,36.49,24.44,52,1,13,11:45:19
2022-07-13 12:46:20,1,4,40.13,38.48,26.09,48,1,13,12:46:20
2022-07-13 13:45:31,1,4,44.7,35.67,26.96,45,1,13,13:45:31
2022-07-13 14:44:36,1,4,40.55,32.61,27.16,45,1,13,14:44:36
2022-07-13 15:43:44,1,4,41.47,32.15,27.11,48,1,13,15:43:44
2022-07-13 16:42:56,1,4,43.57,31.27,26.2,51,1,13,16:42:56
2022-07-13 17:42:02,1,4,51.42,30.87,25.35,55,1,13,17:42:02
2022-07-13 18:41:08,1,4,53.56,29.86,24.16,57,1,13,18:41:08
2022-07-13 19:40:13,1,4,47.04,28.36,22.1,62,1,13,19:40:13
2022-07-13 20:39:19,1,4,53.96,27.86,19.46,71,1,13,20:39:19
2022-07-13 21:38:28,1,4,69.85,28.52,17.89,77,1,13,21:38:28
2022-07-13 22:37:39,1,4,73.78,27.21,16.99,79,1,13,22:37:39
2022-07-13 23:36:49,1,4,80.61,27.48,16.21,81,1,13,23:36:49
2022-07-14 00:35:59,1,4,78.86,27.02,15.58,83,1,14,00:35:59
2022-07-14 01:35:11,1,4,80.89,27.03,15.38,84,1,14,01:35:11
2022-07-14 02:34:25,1,4,75.77,27.13,15.27,85,1,14,02:34:25
2022-07-14 03:33:39,1,4,83.29,26.69,15.24,85,1,14,03:33:39
2022-07-14 04:32:51,1,4,81.52,26.21,15.13,85,1,14,04:32:51
2022-07-14 05:31:59,1,4,82.78,25.57,14.83,86,1,14,05:31:59
2022-07-14 06:31:11,1,4,78.24,25.46,14.61,86,1,14,06:31:11
2022-07-14 07:30:34,1,4,70.15,26.28,16.0,85,1,14,07:30:34
2022-07-14 08:29:58,1,4,68.7,27.52,17.72,79,1,14,08:29:58
2022-07-14 09:29:23,1,4,57.23,29.93,20.29,69,1,14,09:29:23
2022-07-14 10:28:38,1,4,53.13,34.04,22.7,64,1,14,10:28:38
2022-07-14 11:27:51,1,4,43.67,36.37,24.66,58,1,14,11:27:51
2022-07-14 12:27:07,1,4,34.26,36.0,26.43,52,1,14,12:27:07
2022-07-14 13:26:20,1,4,34.91,35.76,27.9,49,1,14,13:26:20
2022-07-14 14:25:33,1,4,38.15,33.34,28.24,46,1,14,14:25:33
2022-07-14 15:24:55,1,4,48.2,32.53,28.48,45,1,14,15:24:55
