date,device,hive number,hive humidity,hive temp,weather temp,weather humidity,queen presence
2022-06-14 20:15:04,2,1,24.97,24.67,21.99,43,1
2022-06-14 21:15:24,2,1,25.4,22.62,18.93,54,1
2022-06-14 22:14:39,2,1,25.25,21.58,17.8,60,1
2022-06-14 23:18:18,2,1,25.19,20.77,16.99,64,1
2022-06-15 0:22:02,2,1,24.59,20.57,15.94,68,1
2022-06-15 1:26:10,2,1,24.86,20.05,15.03,70,1
2022-06-15 2:25:24,2,1,25.05,20.11,14.33,72,1
2022-06-15 3:24:46,2,1,40.78,20.71,,0,1
2022-06-15 4:29:09,2,1,25.9,19.1,,0,1
2022-06-15 5:32:54,2,1,26.58,18.69,13.07,77,1
2022-06-15 6:32:29,2,1,26.89,19.55,14.08,74,1
2022-06-15 7:32:56,2,1,31.72,28.26,16.77,70,1
2022-06-15 8:32:07,2,1,27.19,37.82,19.08,65,1
2022-06-15 9:32:36,2,1,18.99,45.68,23.19,49,1
2022-06-15 10:31:40,2,1,12.38,49.67,25.6,46,1
2022-06-15 11:30:55,2,1,10.88,50.0,27.1,45,1
2022-06-15 12:30:15,2,1,10.31,49.86,27.86,39,1
2022-06-15 13:28:45,2,1,12.58,45.29,28.76,39,1
2022-06-15 14:27:39,2,1,21.25,36.07,28.42,40,1
2022-06-15 15:26:47,2,1,25.73,31.43,28.46,42,1
2022-06-15 16:25:56,2,1,25.94,30.07,27.85,38,1
2022-06-15 17:24:59,2,1,26.83,27.84,26.67,36,1
2022-06-15 18:24:11,2,1,27.68,26.56,23.72,40,1
2022-06-15 19:23:14,2,1,27.34,23.54,21.27,46,1
2022-06-15 20:22:19,2,1,26.68,21.15,18.15,55,1
2022-06-15 21:21:25,2,1,26.78,20.03,16.45,58,1
2022-06-15 22:20:36,2,1,25.71,19.15,15.7,60,1
2022-06-15 23:19:48,2,1,24.49,19.13,14.86,60,1
2022-06-16 0:18:58,2,1,43.47,19.23,14.03,61,1
2022-06-16 1:18:24,2,1,24.42,18.82,13.37,66,1
2022-06-16 2:17:07,2,1,34.28,18.86,12.95,70,1
2022-06-16 3:16:35,2,1,25.22,18.34,12.42,72,1
2022-06-16 4:15:43,2,1,47.49,18.9,11.98,74,1
2022-06-16 5:15:11,2,1,26.32,17.78,11.61,76,1
2022-06-16 6:14:12,2,1,35.39,19.07,11.43,76,1
2022-06-16 7:13:31,2,1,32.82,24.88,12.92,76,1
2022-06-16 8:12:31,2,1,30.06,33.74,15.83,66,1
2022-06-16 9:12:24,2,1,20.1,41.15,18.11,60,1
2022-06-16 10:12:01,2,1,16.59,46.54,20.17,56,1
2022-06-16 11:11:23,2,1,11.94,48.31,21.43,54,1
2022-06-16 12:10:39,2,1,10.93,49.45,22.64,51,1
