date,device,hive number,hive humidity,hive temp,weather temp,weather humidity,queen presence
2022-06-05 17:41:01,2,3,43.53,29.84,24.15,68,1
2022-06-05 18:40:08,2,3,44.7,28.14,23.02,71,1
2022-06-05 19:39:14,2,3,46.6,26.52,21.44,76,1
2022-06-05 20:38:25,2,3,47.82,25.42,19.82,80,1
2022-06-05 21:37:36,2,3,47.87,24.54,18.66,82,1
2022-06-05 22:36:48,2,3,51.73,23.07,18.25,81,1
2022-06-05 23:36:04,2,3,52.37,22.46,17.96,83,1
2022-06-06 0:35:12,2,3,53.07,21.59,17.17,85,1
2022-06-06 1:34:26,2,3,52.34,21.33,16.64,86,1
2022-06-06 2:33:38,2,3,51.84,20.11,15.91,81,1
2022-06-06 3:32:49,2,3,49.97,19.76,15.48,76,1
2022-06-06 4:32:02,2,3,49.61,19.9,15.13,77,1
2022-06-06 5:31:11,2,3,48.95,19.49,14.46,76,1
2022-06-06 6:30:21,2,3,48.11,19.19,13.79,80,1
2022-06-06 7:29:46,2,3,48.81,21.31,14.8,78,1
2022-06-06 8:29:16,2,3,49.4,24.62,16.53,72,1
2022-06-06 9:28:32,2,3,48.09,27.15,18.27,65,1
2022-06-06 10:27:52,2,3,44.66,29.25,19.92,61,1
2022-06-06 11:27:09,2,3,42.69,30.68,21.63,57,1
2022-06-06 12:26:27,2,3,40.32,32.03,23.16,52,1
2022-06-06 13:25:30,2,3,36.33,31.81,24.6,48,1
2022-06-06 14:24:42,2,3,33.84,30.08,25.47,46,1
2022-06-06 15:23:51,2,3,33.46,28.82,25.79,44,1
2022-06-06 16:22:57,2,3,33.75,28.07,25.43,42,1
2022-06-06 17:22:09,2,3,32.43,27.22,24.65,40,1
2022-06-06 18:21:16,2,3,33.69,26.84,23.94,43,1
2022-06-06 19:20:21,2,3,36.9,24.73,22.07,50,1
2022-06-06 20:19:29,2,3,39.32,22.91,19.41,58,1
2022-06-06 21:18:35,2,3,39.23,22.26,16.88,68,1
2022-06-06 22:17:46,2,3,38.44,22.07,15.66,71,1
2022-06-06 23:16:56,2,3,41.97,20.68,14.75,73,1
2022-06-07 0:16:09,2,3,41.31,20.28,13.87,74,1
2022-06-07 1:15:21,2,3,41.75,19.43,13.42,74,1
2022-06-07 2:14:33,2,3,42.65,18.73,12.87,76,1
2022-06-07 3:13:45,2,3,42.46,18.29,12.14,78,1
2022-06-07 4:12:58,2,3,42.62,17.81,11.47,79,1
2022-06-07 5:12:08,2,3,45.43,18.15,10.93,80,1
2022-06-07 6:11:25,2,3,46.35,18.65,10.75,82,1
2022-06-07 7:10:46,2,3,50.87,19.81,12.44,79,1
2022-06-07 8:10:22,2,3,45.39,23.2,15.67,74,1
2022-06-07 9:09:47,2,3,47.47,26.47,18.47,64,1
2022-06-07 10:09:14,2,3,45.6,30.08,21.16,54,1
2022-06-07 11:08:36,2,3,41.06,32.13,23.01,53,1
2022-06-07 12:07:57,2,3,37.31,33.16,25.18,47,1
2022-06-07 13:07:01,2,3,35.86,32.67,26.29,47,1
2022-06-07 14:06:09,2,3,34.07,31.46,26.53,46,1
2022-06-07 15:05:17,2,3,33.76,30.11,26.79,44,1
2022-06-07 16:04:24,2,3,33.41,28.32,25.76,43,1
2022-06-07 17:03:33,2,3,34.45,27.21,24.45,46,1
2022-06-07 18:02:41,2,3,34.5,26.01,22.95,46,1
2022-06-07 19:01:46,2,3,34.76,24.31,21.16,44,1
2022-06-07 20:00:55,2,3,33.93,22.81,19.46,43,1
2022-06-07 21:00:02,2,3,33.27,22.01,16.99,50,1
2022-06-07 21:59:10,2,3,34.23,20.73,15.88,52,1
2022-06-07 22:58:20,2,3,35.4,19.57,14.97,56,1
2022-06-07 23:57:34,2,3,34.24,19.94,14.2,59,1
2022-06-08 0:56:47,2,3,34.89,19.76,13.87,60,1
2022-06-08 1:55:59,2,3,36.97,19.07,13.74,59,1
2022-06-08 2:55:11,2,3,37.25,18.71,13.69,58,1
2022-06-08 3:54:28,2,3,39.05,18.92,13.54,60,1
2022-06-08 4:53:41,2,3,37.37,18.77,13.36,58,1
2022-06-08 5:52:54,2,3,38.15,18.73,13.24,59,1
2022-06-08 6:52:11,2,3,39.1,19.14,14.23,58,1
2022-06-08 7:51:48,2,3,39.48,23.21,17.74,47,1
2022-06-08 8:51:21,2,3,40.03,27.54,20.25,39,1
2022-06-08 9:50:41,2,3,38.38,29.78,21.65,43,1
2022-06-08 14:52:43,2,3,37.1,32.09,26.63,51,0
2022-06-08 15:51:41,2,3,32.71,33.64,25.99,53,0
2022-06-08 17:22:00,2,3,35.13,30.45,24.49,56,0
2022-06-08 18:21:07,2,3,37.52,27.72,22.97,59,0
2022-06-08 19:20:13,2,3,40.11,25.74,21.52,61,0
2022-06-08 20:19:23,2,3,44.76,23.82,19.4,64,0
2022-06-08 21:18:28,2,3,46.68,21.13,17.02,73,0
2022-06-08 22:17:37,2,3,44.8,20.07,15.93,78,0
2022-06-08 23:16:48,2,3,47.73,19.15,15.27,79,0
2022-06-09 0:15:57,2,3,47.68,18.52,14.58,82,0
2022-06-09 1:15:07,2,3,52.87,19.25,13.82,81,0
2022-06-09 2:14:21,2,3,51.26,17.37,13.54,84,0
2022-06-09 3:13:33,2,3,56.87,16.58,12.92,86,0
2022-06-09 4:12:46,2,3,59.0,15.9,12.45,87,0
2022-06-09 5:11:59,2,3,55.31,15.84,12.11,88,0
2022-06-09 6:11:10,2,3,52.1,16.94,11.95,87,0
2022-06-09 7:10:29,2,3,52.66,21.38,13.28,85,0
2022-06-09 8:09:48,2,3,45.8,29.99,15.54,80,0
2022-06-09 9:09:12,2,3,36.74,37.11,17.89,69,0
2022-06-09 10:08:31,2,3,23.97,41.55,20.36,61,0
2022-06-09 11:07:46,2,3,16.65,50.28,23.74,52,0
2022-06-09 12:07:14,2,3,10.59,53.76,27.11,40,0
2022-06-09 13:06:37,2,3,8.93,52.26,29.44,34,0
2022-06-09 14:05:39,2,3,11.51,43.17,30.09,34,0
2022-06-09 15:04:51,2,3,20.01,35.28,30.33,35,0
2022-06-09 16:04:05,2,3,20.7,33.79,31.11,31,0
2022-06-09 17:03:21,2,3,20.84,32.88,31.11,29,0
2022-06-09 18:49:20,2,3,20.73,35.93,27.96,33,1
2022-06-09 19:48:31,2,3,27.96,28.52,25.18,41,1
2022-06-09 20:47:36,2,3,31.58,26.05,22.52,44,1
2022-06-09 21:46:45,2,3,34.94,24.21,20.58,57,1
2022-06-09 22:45:55,2,3,39.57,22.92,19.84,61,1
2022-06-09 23:45:06,2,3,41.05,22.03,19.07,65,1
2022-06-10 0:44:16,2,3,45.4,21.27,18.21,67,1
2022-06-10 1:43:29,2,3,45.69,20.54,17.56,69,1
2022-06-10 2:42:41,2,3,48.19,20.16,16.96,72,1
2022-06-10 3:41:56,2,3,52.17,19.39,16.47,73,1
2022-06-10 4:41:06,2,3,52.9,18.88,15.95,75,1
2022-06-10 5:40:19,2,3,45.91,18.67,15.9,75,1
2022-06-10 6:39:32,2,3,45.21,19.93,17.79,69,1
2022-06-10 7:39:02,2,3,45.59,28.35,21.1,62,1
2022-06-10 8:38:22,2,3,26.57,40.89,24.18,53,1
2022-06-10 9:37:48,2,3,16.92,48.48,26.81,48,1
2022-06-10 10:37:17,2,3,11.04,53.66,29.85,41,1
2022-06-10 11:36:39,2,3,10.41,51.73,31.86,33,1
