date,device,hive number,hive humidity,hive temp,weather temp,weather humidity,queen presence,day,time
2022-06-25 15:04:33,2,1,22.89,35.83,30.64,37,0,25,15:04:33
2022-06-25 16:03:37,2,1,26.27,32.64,29.58,41,0,25,16:03:37
2022-06-25 17:02:48,2,1,28.92,31.4,28.65,41,0,25,17:02:48
2022-06-25 18:01:55,2,1,29.56,30.93,27.68,42,0,25,18:01:55
2022-06-25 19:01:01,2,1,32.47,27.72,25.82,43,0,25,19:01:01
2022-06-25 20:00:05,2,1,35.65,25.02,22.46,54,0,25,20:00:05
2022-06-25 20:59:10,2,1,39.9,22.5,19.53,65,0,25,20:59:10
2022-06-25 21:58:20,2,1,39.44,20.9,18.21,69,0,25,21:58:20
2022-06-25 22:57:32,2,1,38.57,20.25,17.04,74,0,25,22:57:32
2022-06-25 23:56:42,2,1,39.09,19.75,16.33,77,0,25,23:56:42
2022-06-26 00:55:53,2,1,39.6,19.34,15.56,80,0,26,00:55:53
2022-06-26 01:55:04,2,1,39.14,19.07,15.06,82,0,26,01:55:04
2022-06-26 02:54:17,2,1,40.1,18.68,14.59,83,0,26,02:54:17
2022-06-26 03:53:30,2,1,40.26,18.24,14.17,83,0,26,03:53:30
2022-06-26 04:52:44,2,1,40.24,18.91,14.14,84,0,26,04:52:44
2022-06-26 05:51:56,2,1,40.56,20.54,14.36,86,0,26,05:51:56
2022-06-26 06:51:07,2,1,40.91,22.47,15.1,87,0,26,06:51:07
2022-06-26 07:50:20,2,1,41.71,25.52,17.99,66,0,26,07:50:20
2022-06-26 08:49:43,2,1,36.42,37.48,20.01,62,0,26,08:49:43
2022-06-26 09:49:13,2,1,23.14,45.21,22.17,56,0,26,09:49:13
2022-06-26 10:48:36,2,1,15.42,49.68,25.71,41,0,26,10:48:36
2022-06-26 11:47:55,2,1,12.14,51.97,27.68,39,0,26,11:47:55
2022-06-26 12:47:08,2,1,13.97,47.65,28.21,40,0,26,12:47:08
2022-06-26 13:46:18,2,1,17.97,42.36,27.01,46,0,26,13:46:18
2022-06-26 14:45:27,2,1,26.22,35.17,28.47,45,0,26,14:45:27
2022-06-26 15:44:38,2,1,28.34,33.06,29.01,44,0,26,15:44:38
2022-06-26 16:43:49,2,1,30.42,31.93,29.08,45,0,26,16:43:49
2022-06-26 17:42:54,2,1,32.93,30.13,27.61,46,0,26,17:42:54
2022-06-26 18:41:57,2,1,31.9,28.79,25.5,52,0,26,18:41:57
2022-06-26 19:41:01,2,1,36.42,25.62,22.53,57,0,26,19:41:01
2022-06-26 20:40:03,2,1,37.79,22.72,19.45,67,0,26,20:40:03
2022-06-26 21:39:11,2,1,41.57,20.47,17.92,74,0,26,21:39:11
2022-06-26 22:38:20,2,1,39.49,19.63,16.88,79,0,26,22:38:20
2022-06-26 23:37:32,2,1,38.38,19.05,15.94,81,0,26,23:37:32
2022-06-27 00:36:44,2,1,38.71,18.72,15.18,83,0,27,00:36:44
2022-06-27 01:35:57,2,1,39.48,18.54,14.54,84,0,27,01:35:57
2022-06-27 02:35:11,2,1,40.43,18.5,14.49,85,0,27,02:35:11
2022-06-27 03:34:20,2,1,40.98,20.15,14.6,85,0,27,03:34:20
2022-06-27 04:33:32,2,1,40.51,20.93,14.83,85,0,27,04:33:32
2022-06-27 05:32:42,2,1,41.18,20.99,14.88,85,0,27,05:32:42
2022-06-27 06:31:57,2,1,41.08,21.99,14.84,85,0,27,06:31:57
2022-06-27 07:31:07,2,1,40.34,23.83,15.45,82,0,27,07:31:07
2022-06-27 08:30:28,2,1,39.44,34.51,17.05,77,0,27,08:30:28
2022-06-27 09:22:28,2,1,34.44,37.83,19.37,62,0,27,09:22:28
2022-06-27 10:20:13,2,1,19.68,45.02,23.49,51,0,27,10:20:13
2022-06-27 11:19:45,2,1,15.37,49.66,26.07,47,0,27,11:19:45
2022-06-27 12:18:31,2,1,13.94,49.2,26.86,42,0,27,12:18:31
2022-06-27 13:17:43,2,1,14.71,46.04,28.19,39,0,27,13:17:43
2022-06-27 14:16:54,2,1,21.08,38.37,29.61,40,0,27,14:16:54
2022-06-27 15:16:06,2,1,26.21,33.24,29.88,45,0,27,15:16:06
