date,device,hive number,hive humidity,hive temp,weather temp,weather humidity,queen presence,day,time
2022-07-15 15:28:21,2,1,27.9,31.55,26.9,45,1,15,15:28:21
2022-06-15 16:25:56,2,1,25.94,30.07,27.85,38,1,15,16:25:56
2022-06-15 17:24:59,2,1,26.83,27.84,26.67,36,1,15,17:24:59
2022-06-15 18:24:11,2,1,27.68,26.56,23.72,40,1,15,18:24:11
2022-06-15 19:23:14,2,1,27.34,23.54,21.27,46,1,15,19:23:14
2022-06-15 20:22:19,2,1,26.68,21.15,18.15,55,1,15,20:22:19
2022-06-15 21:21:25,2,1,26.78,20.03,16.45,58,1,15,21:21:25
2022-06-15 22:20:36,2,1,25.71,19.15,15.7,60,1,15,22:20:36
2022-06-15 23:19:48,2,1,24.49,19.13,14.86,60,1,15,23:19:48
2022-06-16 00:18:58,2,1,43.47,19.23,14.03,61,1,16,00:18:58
2022-06-16 01:18:24,2,1,24.42,18.82,13.37,66,1,16,01:18:24
2022-06-16 02:17:07,2,1,34.28,18.86,12.95,70,1,16,02:17:07
2022-06-16 03:16:35,2,1,25.22,18.34,12.42,72,1,16,03:16:35
2022-06-16 04:15:43,2,1,47.49,18.9,11.98,74,1,16,04:15:43
2022-06-16 05:15:11,2,1,26.32,17.78,11.61,76,1,16,05:15:11
2022-06-16 06:14:12,2,1,35.39,19.07,11.43,76,1,16,06:14:12
2022-06-16 07:13:31,2,1,32.82,24.88,12.92,76,1,16,07:13:31
2022-06-16 08:12:31,2,1,30.06,33.74,15.83,66,1,16,08:12:31
2022-06-16 09:12:24,2,1,20.1,41.15,18.11,60,1,16,09:12:24
2022-06-16 10:12:01,2,1,16.59,46.54,20.17,56,1,16,10:12:01
2022-06-16 11:11:23,2,1,11.94,48.31,21.43,54,1,16,11:11:23
2022-06-16 12:10:39,2,1,10.93,49.45,22.64,51,1,16,12:10:39
2022-06-16 13:09:27,2,1,11.58,47.17,23.48,50,1,16,13:09:27
2022-06-16 14:07:27,2,1,18.71,37.18,23.44,47,1,16,14:07:27
2022-06-16 15:06:34,2,1,25.75,29.73,23.13,47,1,16,15:06:34
2022-06-16 16:05:45,2,1,24.82,28.39,22.43,44,1,16,16:05:45
2022-06-16 17:04:50,2,1,24.77,27.24,21.27,46,1,16,17:04:50
2022-06-16 18:04:02,2,1,24.63,26.73,19.53,47,1,16,18:04:02
2022-06-16 19:02:57,2,1,35.28,23.41,17.67,49,1,16,19:02:57
2022-06-16 20:01:57,2,1,29.72,20.71,14.96,57,1,16,20:01:57
2022-06-16 21:01:03,2,1,43.7,20.02,13.83,63,1,16,21:01:03
2022-06-16 22:00:08,2,1,62.27,21.18,13.23,65,1,16,22:00:08
2022-06-16 22:59:34,2,1,52.48,19.91,12.81,68,1,16,22:59:34
2022-06-16 23:58:21,2,1,34.28,19.45,12.95,68,1,16,23:58:21
