date,device,hive number,hive humidity,hive temp,weather temp,weather humidity,queen presence,day,time
2022-07-13 08:02:57,2,1,45.87,27.53,15.97,80,1,13,08:02:57
2022-07-13 09:02:04,2,1,38.12,36.91,18.21,72,1,13,09:02:04
2022-07-13 10:01:43,2,1,25.06,44.87,20.63,66,1,13,10:01:43
2022-07-13 11:01:11,2,1,17.9,49.53,23.02,60,1,13,11:01:11
2022-07-13 12:01:44,2,1,12.27,52.21,25.02,52,1,13,12:01:44
2022-07-13 13:01:16,2,1,12.7,49.38,26.56,47,1,13,13:01:16
2022-07-13 14:02:35,2,1,21.51,39.02,27.48,45,1,13,14:02:35
2022-07-13 15:04:15,2,1,27.77,32.87,27.34,46,1,13,15:04:15
2022-07-13 16:02:54,2,1,30.8,31.85,26.82,49,1,13,16:02:54
2022-07-13 17:03:05,2,1,33.06,30.19,25.71,50,1,13,17:03:05
2022-07-13 18:02:16,2,1,34.94,30.24,24.74,54,1,13,18:02:16
2022-07-13 19:00:31,2,1,36.34,27.25,23.5,59,1,13,19:00:31
2022-07-13 19:59:52,2,1,39.31,24.9,21.35,65,1,13,19:59:52
2022-07-13 20:58:24,2,1,46.01,22.47,18.8,73,1,13,20:58:24
2022-07-13 21:58:04,2,1,47.26,20.47,17.61,78,1,13,21:58:04
2022-07-13 22:56:32,2,1,45.99,19.69,16.66,81,1,13,22:56:32
2022-07-13 23:55:56,2,1,44.74,18.98,15.96,82,1,13,23:55:56
2022-07-14 00:54:55,2,1,45.84,19.17,15.55,83,1,14,00:54:55
2022-07-14 01:56:06,2,1,45.58,19.57,15.28,84,1,14,01:56:06
2022-07-14 02:55:09,2,1,45.67,20.44,15.24,85,1,14,02:55:09
2022-07-14 03:53:56,2,1,46.17,20.7,15.19,85,1,14,03:53:56
2022-07-14 04:53:07,2,1,47.48,19.74,14.99,85,1,14,04:53:07
2022-07-14 05:52:43,2,1,48.32,18.44,14.71,86,1,14,05:52:43
2022-07-14 06:51:34,2,1,48.04,20.56,14.93,86,1,14,06:51:34
2022-07-14 07:52:34,2,1,45.93,30.36,17.08,80,1,14,07:52:34
2022-07-14 08:52:31,2,1,33.4,39.16,19.03,75,1,14,08:52:31
2022-07-14 09:52:14,2,1,20.78,44.94,21.69,66,1,14,09:52:14
2022-07-14 10:54:43,2,1,14.82,49.88,24.03,59,1,14,10:54:43
2022-07-14 11:57:48,2,1,12.98,49.97,26.06,53,1,14,11:57:48
2022-07-14 13:01:08,2,1,14.63,47.59,27.5,50,1,14,13:01:08
2022-07-14 14:01:51,2,1,22.6,38.75,28.26,47,1,14,14:01:51
2022-07-14 15:03:25,2,1,28.95,32.99,28.5,45,1,14,15:03:25
2022-07-14 16:02:50,2,1,29.69,31.02,27.99,47,1,14,16:02:50
2022-07-14 17:01:03,2,1,31.42,29.35,26.9,47,1,14,17:01:03
2022-07-14 18:01:02,2,1,32.47,29.08,25.1,48,1,14,18:01:02
2022-07-14 19:00:10,2,1,33.42,25.97,22.87,53,1,14,19:00:10
2022-07-14 19:59:41,2,1,36.16,23.56,20.66,56,1,14,19:59:41
2022-06-14 20:15:04,2,1,24.97,24.67,21.99,43,1,14,20:15:04
