date,device,hive number,hive humidity,hive temp,weather temp,weather humidity,queen presence,day,time
2022-06-28 18:29:56,2,1,30.01,28.86,26.1,43,1,28,18:29:56
2022-06-28 19:29:03,2,1,30.45,26.09,24.09,46,1,28,19:29:03
2022-06-28 20:28:09,2,1,31.7,24.21,21.41,49,1,28,20:28:09
2022-06-28 21:27:16,2,1,32.26,22.07,19.3,56,1,28,21:27:16
2022-06-28 22:26:20,2,1,33.01,20.86,17.86,63,1,28,22:26:20
2022-06-28 23:25:29,2,1,32.28,20.32,16.76,68,1,28,23:25:29
2022-06-29 00:24:37,2,1,32.12,19.78,15.79,72,1,29,00:24:37
2022-06-29 01:23:48,2,1,31.94,19.32,14.94,75,1,29,01:23:48
2022-06-29 02:22:58,2,1,31.59,19.32,14.16,79,1,29,02:22:58
2022-06-29 03:22:07,2,1,32.3,19.09,13.56,81,1,29,03:22:07
2022-06-29 04:21:17,2,1,31.81,19.27,13.02,82,1,29,04:21:17
2022-06-29 05:20:23,2,1,33.68,18.63,12.57,83,1,29,05:20:23
2022-06-29 06:19:34,2,1,31.05,19.05,12.35,84,1,29,06:19:34
2022-06-29 07:19:04,2,1,33.83,23.38,13.92,84,1,29,07:19:04
2022-06-29 08:18:26,2,1,35.78,30.38,15.55,77,1,29,08:18:26
2022-06-29 09:18:09,2,1,28.84,41.06,18.09,66,1,29,09:18:09
2022-06-29 10:17:35,2,1,20.2,46.36,20.84,56,1,29,10:17:35
2022-06-29 11:17:07,2,1,13.2,49.82,22.11,53,1,29,11:17:07
2022-06-29 12:16:28,2,1,12.46,49.65,23.92,49,1,29,12:16:28
2022-06-29 13:15:40,2,1,13.95,47.73,24.39,52,1,29,13:15:40
2022-06-29 14:13:31,2,1,21.01,37.15,25.74,46,1,29,14:13:31
2022-06-29 15:12:27,2,1,25.97,30.99,25.37,43,1,29,15:12:27
2022-06-29 16:11:32,2,1,27.72,29.76,24.87,46,1,29,16:11:32
2022-06-29 17:00:11,2,1,37.35,26.36,24.13,50,1,29,17:00:11
2022-06-29 17:59:12,2,1,31.04,27.75,22.88,55,1,29,17:59:12
2022-06-29 18:58:09,2,1,30.95,25.12,20.94,59,1,29,18:58:09
2022-06-29 19:57:13,2,1,32.63,22.31,18.22,68,1,29,19:57:13
2022-06-29 20:56:16,2,1,35.85,19.98,15.79,77,1,29,20:56:16
2022-06-29 21:55:24,2,1,33.48,20.08,14.69,82,1,29,21:55:24
2022-06-29 22:54:35,2,1,45.57,20.73,14.09,82,1,29,22:54:35
2022-06-29 23:53:49,2,1,31.62,20.79,13.86,84,1,29,23:53:49
2022-06-30 00:53:00,2,1,31.28,21.02,13.47,84,1,30,00:53:00
2022-06-30 01:52:10,2,1,31.72,21.22,13.37,84,1,30,01:52:10
2022-06-30 02:51:21,2,1,31.49,21.17,13.31,84,1,30,02:51:21
2022-06-30 03:50:31,2,1,32.39,21.16,13.07,84,1,30,03:50:31
2022-06-30 04:49:40,2,1,39.84,21.21,12.85,84,1,30,04:49:40
2022-06-30 05:48:50,2,1,41.29,21.11,12.71,83,1,30,05:48:50
2022-06-30 06:47:59,2,1,51.1,21.47,13.11,82,1,30,06:47:59
2022-06-30 07:47:14,2,1,42.49,22.82,13.61,80,1,30,07:47:14
2022-06-30 08:46:38,2,1,39.05,27.36,15.14,78,1,30,08:46:38
2022-06-30 09:46:45,2,1,28.43,41.57,17.52,67,1,30,09:46:45
2022-06-30 10:46:15,2,1,23.85,48.21,19.75,63,1,30,10:46:15
2022-06-30 11:45:41,2,1,16.81,51.28,21.69,55,1,30,11:45:41
2022-06-30 12:44:48,2,1,12.69,49.55,23.36,47,1,30,12:44:48
2022-06-30 13:43:06,2,1,16.48,42.77,23.6,49,1,30,13:43:06
2022-06-30 14:42:07,2,1,24.07,32.97,23.96,49,1,30,14:42:07
2022-06-30 15:41:07,2,1,25.46,29.21,23.1,49,1,30,15:41:07
2022-06-30 16:40:15,2,1,28.39,27.66,22.55,52,1,30,16:40:15
2022-06-30 17:39:21,2,1,30.54,25.77,21.45,55,1,30,17:39:21
