date,device,hive number,hive humidity,hive temp,weather temp,weather humidity,queen presence,day,time
2022-06-24 10:03:17,2,1,31.83,33.81,25.03,43,1,24,10:03:17
2022-06-24 11:02:54,2,1,22.52,37.56,27.45,38,1,24,11:02:54
2022-06-24 12:02:08,2,1,20.42,39.64,30.37,34,1,24,12:02:08
2022-06-24 13:01:17,2,1,21.54,39.65,32.21,36,1,24,13:01:17
2022-06-24 14:00:20,2,1,24.09,37.16,33.06,35,1,24,14:00:20
2022-06-24 14:59:22,2,1,25.9,35.06,32.67,33,1,24,14:59:22
2022-06-24 15:58:28,2,1,26.91,34.42,32.21,36,1,24,15:58:28
2022-06-24 16:57:37,2,1,27.73,33.31,31.79,37,1,24,16:57:37
2022-06-24 17:56:42,2,1,30.14,31.6,30.58,41,1,24,17:56:42
2022-06-24 18:55:41,2,1,32.4,29.74,27.41,44,1,24,18:55:41
2022-06-24 19:54:43,2,1,35.17,26.95,24.09,50,1,24,19:54:43
2022-06-24 20:53:47,2,1,38.76,25.31,20.64,61,1,24,20:53:47
2022-06-24 21:52:53,2,1,37.53,23.77,18.92,68,1,24,21:52:53
2022-06-24 22:52:03,2,1,37.17,23.01,17.96,71,1,24,22:52:03
2022-06-24 23:51:12,2,1,35.81,22.85,16.96,75,1,24,23:51:12
2022-06-25 00:50:22,2,1,35.77,22.68,16.3,76,1,25,00:50:22
2022-06-25 01:49:33,2,1,35.65,22.16,15.68,79,1,25,01:49:33
2022-06-25 02:48:45,2,1,36.03,21.74,15.14,79,1,25,02:48:45
2022-06-25 03:47:58,2,1,35.97,21.56,14.8,80,1,25,03:47:58
2022-06-25 04:47:09,2,1,36.26,21.09,14.32,81,1,25,04:47:09
2022-06-25 05:46:18,2,1,35.79,20.74,13.87,82,1,25,05:46:18
2022-06-25 06:45:34,2,1,36.4,21.44,14.8,82,1,25,06:45:34
2022-06-25 07:45:01,2,1,40.72,24.69,19.03,61,1,25,07:45:01
2022-06-25 08:44:24,2,1,41.77,28.12,20.92,51,1,25,08:44:24
2022-06-25 09:43:58,2,1,36.64,31.81,23.18,45,1,25,09:43:58
2022-06-25 10:43:26,2,1,30.17,35.38,25.98,41,1,25,10:43:26
2022-06-25 11:42:48,2,1,26.85,37.73,27.18,42,1,25,11:42:48
2022-06-25 12:41:58,2,1,24.52,38.29,27.8,38,1,25,12:41:58
2022-06-25 13:40:59,2,1,25.87,36.36,28.34,47,1,25,13:40:59
