date,device,hive number,hive humidity,hive temp,weather temp,weather humidity,queen presence
2022-06-14 4:58:40,1,5,38.02,21.0,11.58,78,1
2022-06-14 5:57:50,1,5,39.05,21.7,11.44,78,1
2022-06-14 6:57:25,1,5,38.21,22.96,13.76,72,1
2022-06-14 7:57:11,1,5,39.21,25.79,17.37,64,1
2022-06-14 8:56:49,1,5,37.19,30.05,20.02,52,1
2022-06-14 9:56:21,1,5,30.3,33.83,22.65,44,1
2022-06-14 10:55:49,1,5,24.44,36.92,24.7,37,1
2022-06-14 11:55:10,1,5,20.87,39.09,26.5,35,1
2022-06-14 12:53:59,1,5,17.0,40.31,28.06,29,1
2022-06-14 13:52:40,1,5,15.32,39.14,28.86,25,1
2022-06-14 14:51:53,1,5,16.35,36.77,29.54,23,1
2022-06-14 15:50:57,1,5,13.76,35.18,29.49,23,1
2022-06-14 16:50:02,1,5,20.93,32.8,28.53,25,1
2022-06-14 17:49:06,1,5,23.93,31.94,27.39,31,1
