date,device,hive number,hive humidity,hive temp,weather temp,weather humidity,queen presence
2022-06-24 10:03:35,1,4,38.83,42.76,25.03,43,1
2022-06-24 11:03:30,1,4,20.98,48.42,27.45,38,1
2022-06-24 12:02:42,1,4,18.39,47.41,30.37,34,1
2022-06-24 13:01:08,1,4,20.51,44.55,32.4,35,1
2022-06-24 14:00:07,1,4,25.14,38.81,33.06,35,1
2022-06-24 14:59:04,1,4,27.72,36.17,32.62,35,1
2022-06-24 15:58:15,1,4,34.84,35.57,32.21,36,1
2022-06-24 16:57:25,1,4,44.1,34.19,31.79,37,1
2022-06-24 17:56:26,1,4,44.52,33.13,30.58,41,1
2022-06-24 18:55:31,1,4,53.44,31.69,27.41,44,1
2022-06-24 19:54:30,1,4,61.15,31.22,24.09,50,1
2022-06-24 20:53:33,1,4,69.95,30.48,20.8,61,1
2022-06-24 21:52:38,1,4,71.59,29.99,18.99,68,1
2022-06-24 22:51:46,1,4,77.41,29.62,17.96,71,1
2022-06-24 23:51:14,1,4,75.42,28.88,17.02,75,1
2022-06-25 0:50:11,1,4,76.39,28.38,16.28,76,1
2022-06-25 1:49:19,1,4,80.16,28.06,15.68,79,1
2022-06-25 2:48:30,1,4,79.62,27.57,15.14,80,1
2022-06-25 3:47:42,1,4,75.07,27.52,14.79,80,1
2022-06-25 4:46:52,1,4,78.32,27.34,14.32,81,1
2022-06-25 5:46:02,1,4,78.22,26.98,13.87,82,1
2022-06-25 6:45:24,1,4,71.25,27.19,14.68,82,1
2022-06-25 7:45:25,1,4,58.67,31.17,19.11,59,1
2022-06-25 8:44:36,1,4,58.6,32.12,20.92,51,1
2022-06-25 9:44:22,1,4,40.98,42.13,23.18,45,1
2022-06-25 10:43:44,1,4,32.5,47.72,25.98,41,1
2022-06-25 11:42:54,1,4,24.02,44.35,27.18,42,1
2022-06-25 12:41:45,1,4,24.49,42.31,27.8,38,1
2022-06-25 13:40:07,1,4,27.12,38.41,28.4,47,1
2022-06-25 15:04:12,1,4,33.58,34.2,30.64,37,0
2022-06-25 16:03:24,1,4,45.1,33.64,29.67,40,0
2022-06-25 17:02:27,1,4,44.19,32.46,28.65,41,0
2022-06-25 18:01:33,1,4,44.25,32.85,27.68,42,0
2022-06-25 19:00:41,1,4,54.16,32.77,25.82,43,0
2022-06-25 19:59:50,1,4,62.26,32.47,22.53,53,0
2022-06-25 20:58:57,1,4,67.06,32.47,19.53,65,0
2022-06-25 21:58:09,1,4,69.55,31.84,18.15,70,0
2022-06-25 22:57:22,1,4,70.86,31.37,17.04,74,0
2022-06-25 23:56:32,1,4,68.49,30.82,16.33,77,0
2022-06-26 0:55:43,1,4,68.36,30.23,15.55,80,0
2022-06-26 1:54:51,1,4,69.15,29.97,15.09,82,0
2022-06-26 2:54:05,1,4,73.83,29.55,14.54,83,0
2022-06-26 3:53:17,1,4,68.19,29.3,14.16,83,0
2022-06-26 4:52:33,1,4,67.76,28.86,14.14,84,0
2022-06-26 5:51:52,1,4,67.52,29.24,14.36,86,0
2022-06-26 6:51:08,1,4,66.14,29.38,15.1,87,0
2022-06-26 7:50:24,1,4,67.58,29.51,17.99,66,0
2022-06-26 8:49:49,1,4,60.96,30.94,20.01,62,0
2022-06-26 9:49:26,1,4,60.46,32.82,22.17,56,0
2022-06-26 10:48:55,1,4,53.75,35.52,25.71,41,0
2022-06-26 11:48:16,1,4,48.83,37.13,27.5,40,0
2022-06-26 12:47:25,1,4,36.61,37.14,28.87,40,0
2022-06-26 13:46:18,1,4,37.31,35.14,27.92,43,0
2022-06-26 14:45:27,1,4,51.47,34.63,28.47,45,0
2022-06-26 15:44:40,1,4,41.54,33.77,29.01,44,0
2022-06-26 16:43:48,1,4,49.17,33.43,29.25,45,0
2022-06-26 17:42:56,1,4,56.09,32.44,27.61,46,0
2022-06-26 18:42:02,1,4,57.38,32.24,25.5,52,0
2022-06-26 19:41:10,1,4,63.57,31.92,22.53,57,0
2022-06-26 20:40:16,1,4,67.71,31.42,19.32,68,0
2022-06-26 21:39:27,1,4,70.35,30.87,17.92,74,0
2022-06-26 22:38:40,1,4,78.26,30.4,16.88,79,0
2022-06-26 23:37:51,1,4,77.41,30.06,15.93,81,0
2022-06-27 0:37:09,1,4,76.63,29.86,15.18,83,0
2022-06-27 1:36:20,1,4,75.72,29.26,14.54,84,0
2022-06-27 2:35:34,1,4,69.63,28.83,14.49,85,0
2022-06-27 3:34:51,1,4,67.95,29.06,14.6,85,0
2022-06-27 4:34:04,1,4,70.78,29.09,14.96,85,0
2022-06-27 5:33:18,1,4,65.26,28.77,14.73,85,0
2022-06-27 6:32:32,1,4,68.64,28.81,14.84,85,0
2022-06-27 7:31:49,1,4,72.67,28.97,15.45,82,0
2022-06-27 8:31:09,1,4,68.98,29.34,17.7,72,0
2022-06-27 9:22:08,1,4,54.18,26.83,19.37,62,0
2022-06-27 10:21:13,1,4,56.58,33.19,23.49,51,0
2022-06-27 11:20:47,1,4,52.7,34.69,26.07,47,0
2022-06-27 12:20:07,1,4,50.91,36.3,26.86,42,0
2022-06-27 13:19:05,1,4,51.62,36.74,28.19,39,0
2022-06-27 14:18:17,1,4,45.73,34.91,29.61,40,0
2022-06-27 15:17:24,1,4,42.14,33.77,29.88,45,0
2022-06-27 16:16:33,1,4,49.95,33.41,29.62,42,0
2022-06-27 17:15:43,1,4,43.6,32.48,28.97,44,0
2022-06-27 18:14:49,1,4,57.88,32.43,27.45,44,0
2022-06-27 19:25:25,1,4,67.9,29.26,25.04,48,1
2022-06-27 20:24:32,1,4,74.42,28.69,22.19,56,1
2022-06-27 21:23:38,1,4,79.9,28.06,19.5,67,1
2022-06-27 22:22:47,1,4,81.65,26.87,18.01,73,1
2022-06-27 23:21:55,1,4,86.02,26.17,17.0,75,1
2022-06-28 0:21:03,1,4,88.06,25.73,16.35,79,1
2022-06-28 1:20:12,1,4,90.74,25.3,15.75,80,1
2022-06-28 2:19:24,1,4,91.22,24.93,15.12,81,1
2022-06-28 3:18:36,1,4,93.47,24.71,14.66,83,1
2022-06-28 4:17:44,1,4,91.77,24.38,14.45,84,1
2022-06-28 5:16:54,1,4,92.31,24.04,13.88,79,1
2022-06-28 6:16:08,1,4,92.78,24.18,13.45,85,1
2022-06-28 7:15:55,1,4,71.36,27.5,15.06,84,1
2022-06-28 8:15:02,1,4,62.96,31.1,17.31,72,1
2022-06-28 9:14:48,1,4,63.54,31.87,20.43,61,1
2022-06-28 10:14:18,1,4,58.94,33.81,23.45,50,1
2022-06-28 11:13:44,1,4,57.21,36.38,25.71,42,1
2022-06-28 12:12:59,1,4,46.79,36.71,27.23,42,1
2022-06-28 13:11:58,1,4,48.49,36.69,28.8,39,1
2022-06-28 14:11:05,1,4,47.34,34.45,29.35,39,1
2022-06-28 15:10:15,1,4,49.84,33.56,29.36,42,1
2022-06-28 16:09:24,1,4,51.52,32.94,28.94,40,1
2022-06-28 17:08:34,1,4,52.55,32.27,27.83,40,1
2022-06-28 18:29:45,1,4,46.55,26.29,26.1,43,1
2022-06-28 19:28:49,1,4,70.13,29.19,24.09,46,1
2022-06-28 20:27:58,1,4,75.11,28.35,21.41,49,1
2022-06-28 21:27:05,1,4,79.88,27.42,19.36,56,1
2022-06-28 22:26:13,1,4,81.69,27.12,17.86,63,1
2022-06-28 23:25:19,1,4,83.87,26.29,16.76,68,1
2022-06-29 0:24:28,1,4,90.16,25.93,15.79,72,1
2022-06-29 1:23:38,1,4,89.42,25.33,14.94,75,1
2022-06-29 2:22:49,1,4,90.71,24.82,14.16,79,1
2022-06-29 3:22:00,1,4,87.29,24.58,13.56,81,1
2022-06-29 4:21:13,1,4,91.63,24.19,13.02,82,1
2022-06-29 5:20:21,1,4,92.82,23.82,12.57,83,1
2022-06-29 6:19:33,1,4,88.99,23.26,12.35,84,1
2022-06-29 7:19:08,1,4,79.33,25.74,13.92,84,1
2022-06-29 8:18:36,1,4,72.85,28.53,15.55,77,1
2022-06-29 9:18:42,1,4,57.01,35.51,18.09,66,1
2022-06-29 10:18:07,1,4,42.63,41.38,20.84,56,1
2022-06-29 11:17:33,1,4,36.92,44.85,22.43,52,1
2022-06-29 12:16:53,1,4,28.87,43.86,23.73,53,1
2022-06-29 13:15:03,1,4,26.66,39.38,24.39,52,1
2022-06-29 14:14:09,1,4,34.6,33.26,25.74,46,1
2022-06-29 15:12:49,1,4,44.65,33.16,25.38,43,1
2022-06-29 16:11:49,1,4,53.55,31.25,24.87,46,1
2022-06-30 18:24:20,1,4,54.71,22.08,20.84,58,1
2022-06-30 19:23:19,1,4,75.37,26.26,19.47,62,1
2022-06-30 20:22:25,1,4,80.91,25.99,17.0,70,1
2022-06-30 21:21:31,1,4,84.59,25.24,15.06,78,1
2022-06-30 22:20:40,1,4,87.77,24.49,14.07,82,1
2022-06-30 23:19:59,1,4,84.74,24.9,13.7,82,1
2022-07-01 0:19:07,1,4,79.96,24.96,13.3,82,1
2022-07-01 1:18:17,1,4,83.25,24.88,12.97,82,1
2022-07-01 2:17:27,1,4,79.35,24.6,12.88,82,1
2022-07-01 3:16:39,1,4,80.41,24.47,12.77,82,1
2022-07-01 4:15:51,1,4,76.56,24.46,12.58,81,1
2022-07-01 5:15:04,1,4,76.81,24.35,12.43,81,1
2022-07-01 6:14:14,1,4,78.25,24.15,12.28,81,1
2022-07-01 7:13:33,1,4,75.28,25.26,12.97,80,1
2022-07-01 8:13:37,1,4,60.93,29.24,14.39,76,1
2022-07-01 9:13:50,1,4,50.38,33.97,16.86,70,1
2022-07-01 10:13:33,1,4,37.54,41.15,19.46,60,1
2022-07-01 11:12:58,1,4,28.69,46.73,21.74,57,1
