Time Stamp,Battery Level,isCharging,Temp In,Temp Out,Hum In,Hum Out
2024-10-29 19:42:33,80,0,30.95,26.64,87.98,100.00
2024-10-29 19:47:50,80,0,31.12,26.67,88.02,100.00
2024-10-29 19:53:7,80,0,31.11,26.67,87.93,100.00
2024-10-29 19:58:24,80,0,30.90,26.65,86.37,100.00
2024-10-29 20:3:42,80,0,31.07,26.73,87.73,100.00
2024-10-29 20:8:59,79,0,31.20,26.80,87.80,100.00
2024-10-29 20:14:16,78,0,31.22,26.77,87.74,100.00
2024-10-29 20:19:33,78,0,31.29,26.78,87.69,100.00
2024-10-29 20:24:50,78,0,31.25,26.72,87.40,100.00
2024-10-29 20:30:7,78,0,31.10,26.56,87.27,100.00
2024-10-29 20:35:25,78,0,31.11,26.60,87.65,100.00
2024-10-29 20:40:42,78,0,31.17,26.63,87.70,100.00
2024-10-29 20:45:59,78,0,31.23,26.69,87.43,100.00
2024-10-29 20:51:16,78,0,31.27,26.74,87.20,100.00
2024-10-29 20:56:33,78,0,31.16,26.73,87.23,100.00
2024-10-29 21:1:51,78,0,31.16,26.70,87.17,100.00
2024-10-29 21:7:8,78,0,31.02,26.62,87.33,100.00
2024-10-29 21:12:25,78,0,31.12,26.57,87.17,100.00
2024-10-29 21:17:42,78,0,31.13,26.43,87.30,100.00
2024-10-29 21:22:59,78,0,31.08,26.37,87.30,100.00
2024-10-29 21:28:17,78,0,31.01,26.36,87.51,100.00
2024-10-29 21:33:34,78,0,31.04,26.42,87.62,100.00
2024-10-29 21:38:51,78,0,30.99,26.44,87.41,100.00
2024-10-29 21:44:8,78,0,31.00,26.48,87.60,100.00
2024-10-29 21:49:25,78,0,31.13,26.45,87.72,100.00
2024-10-29 21:54:43,77,0,30.94,26.45,87.86,100.00
2024-10-29 22:0:0,77,0,30.98,26.45,87.40,100.00
2024-10-29 22:5:17,77,0,31.11,26.42,87.55,100.00
2024-10-29 22:10:34,77,0,31.15,26.42,87.67,100.00
2024-10-29 22:15:51,77,0,31.09,26.41,87.60,100.00
2024-10-29 22:21:9,77,0,30.84,26.38,87.60,100.00
2024-10-29 22:26:26,77,0,30.90,26.40,87.80,100.00
2024-10-29 22:31:43,77,0,30.96,26.40,87.92,100.00
2024-10-29 22:37:0,77,0,31.03,26.36,87.95,100.00
2024-10-29 22:42:18,77,0,31.06,26.31,87.72,100.00
2024-10-29 22:47:35,77,0,31.08,26.30,87.60,100.00
2024-10-29 22:52:52,77,0,31.04,26.31,87.63,100.00
2024-10-29 22:58:9,76,0,31.01,26.30,87.70,100.00
2024-10-29 23:3:26,76,0,30.98,26.24,87.65,100.00
2024-10-29 23:8:44,76,0,31.02,26.30,87.73,100.00
2024-10-29 23:14:1,76,0,31.11,26.33,87.53,100.00
2024-10-29 23:19:18,76,0,31.07,26.37,87.57,100.00
2024-10-29 23:24:35,76,0,30.95,26.30,87.64,100.00
2024-10-29 23:29:53,76,0,30.90,26.23,87.94,100.00
2024-10-29 23:35:10,76,0,30.89,26.27,87.76,100.00
2024-10-29 23:40:27,76,0,30.95,26.29,87.94,100.00
2024-10-29 23:45:44,76,0,30.96,26.26,87.88,100.00
2024-10-29 23:51:1,76,0,30.99,26.20,87.73,100.00
2024-10-29 23:56:19,76,0,30.97,26.17,87.71,100.00
2024-10-30 0:1:36,76,0,30.88,26.14,87.93,100.00
2024-10-30 0:6:53,76,0,30.87,26.17,87.93,100.00
2024-10-30 0:12:10,75,0,30.87,26.16,88.09,100.00
2024-10-30 0:17:27,75,0,30.83,26.24,88.11,100.00
2024-10-30 0:22:45,75,0,30.87,26.31,88.20,100.00
2024-10-30 0:28:2,75,0,30.78,26.30,88.38,100.00
2024-10-30 0:33:19,75,0,30.77,26.28,88.61,100.00
2024-10-30 0:38:36,75,0,30.86,26.34,89.03,100.00
2024-10-30 0:43:54,75,0,30.86,26.45,88.66,100.00
2024-10-30 0:49:11,75,0,30.83,26.57,88.55,100.00
2024-10-30 0:54:28,75,0,30.68,26.46,88.52,100.00
2024-10-30 0:59:45,75,0,30.64,26.37,88.47,100.00
2024-10-30 1:5:2,74,0,30.26,26.36,88.72,100.00
2024-10-30 1:10:20,74,0,29.23,26.54,88.73,100.00
2024-10-30 1:15:37,74,0,29.70,26.67,88.15,100.00
2024-10-30 1:20:54,74,0,29.80,27.02,89.00,100.00
2024-10-30 1:26:11,74,0,29.79,27.10,87.59,100.00
2024-10-30 1:31:29,74,0,29.70,27.20,88.02,100.00
2024-10-30 1:36:46,74,0,29.69,27.25,89.07,100.00
2024-10-30 1:42:3,74,0,30.18,27.24,89.49,100.00
2024-10-30 1:47:20,74,0,30.58,27.37,89.02,100.00
2024-10-30 1:52:38,74,0,30.79,27.52,88.55,100.00
2024-10-30 1:57:55,74,0,31.00,27.68,89.66,100.00
2024-10-30 2:3:12,74,0,30.91,27.86,89.68,100.00
2024-10-30 2:8:29,73,0,30.86,27.96,88.19,99.30
2024-10-30 2:13:47,73,0,30.96,28.08,89.53,98.66
2024-10-30 2:19:4,73,0,30.42,28.33,89.40,98.21
2024-10-30 2:24:21,73,0,31.49,28.51,89.83,96.88
2024-10-30 2:29:38,73,0,31.44,28.47,89.15,96.60
2024-10-30 2:34:56,73,0,31.81,28.37,89.40,96.43
