date,device,hive number,hive humidity,hive temp,weather temp,weather humidity,queen presence,day,time
2022-06-05 18:40:08,2,3,44.7,28.14,23.02,71,1,5,18:40:08
2022-06-05 19:39:14,2,3,46.6,26.52,21.44,76,1,5,19:39:14
2022-06-05 20:38:25,2,3,47.82,25.42,19.82,80,1,5,20:38:25
2022-06-05 21:37:36,2,3,47.87,24.54,18.66,82,1,5,21:37:36
2022-06-05 22:36:48,2,3,51.73,23.07,18.25,81,1,5,22:36:48
2022-06-05 23:36:04,2,3,52.37,22.46,17.96,83,1,5,23:36:04
2022-06-06 00:35:12,2,3,53.07,21.59,17.17,85,1,6,00:35:12
2022-06-06 01:34:26,2,3,52.34,21.33,16.64,86,1,6,01:34:26
2022-06-06 02:33:38,2,3,51.84,20.11,15.91,81,1,6,02:33:38
2022-06-06 03:32:49,2,3,49.97,19.76,15.48,76,1,6,03:32:49
2022-06-06 04:32:02,2,3,49.61,19.9,15.13,77,1,6,04:32:02
2022-06-06 05:31:11,2,3,48.95,19.49,14.46,76,1,6,05:31:11
2022-06-06 06:30:21,2,3,48.11,19.19,13.79,80,1,6,06:30:21
2022-06-06 07:29:46,2,3,48.81,21.31,14.8,78,1,6,07:29:46
2022-06-06 08:29:16,2,3,49.4,24.62,16.53,72,1,6,08:29:16
2022-06-06 09:28:32,2,3,48.09,27.15,18.27,65,1,6,09:28:32
2022-06-06 10:27:52,2,3,44.66,29.25,19.92,61,1,6,10:27:52
2022-06-06 11:27:09,2,3,42.69,30.68,21.63,57,1,6,11:27:09
2022-06-06 12:26:27,2,3,40.32,32.03,23.16,52,1,6,12:26:27
2022-06-06 13:25:30,2,3,36.33,31.81,24.6,48,1,6,13:25:30
2022-06-06 14:24:42,2,3,33.84,30.08,25.47,46,1,6,14:24:42
2022-06-06 15:23:51,2,3,33.46,28.82,25.79,44,1,6,15:23:51
2022-06-06 16:22:57,2,3,33.75,28.07,25.43,42,1,6,16:22:57
2022-06-06 17:22:09,2,3,32.43,27.22,24.65,40,1,6,17:22:09
2022-06-06 18:21:16,2,3,33.69,26.84,23.94,43,1,6,18:21:16
2022-06-06 19:20:21,2,3,36.9,24.73,22.07,50,1,6,19:20:21
2022-06-06 20:19:29,2,3,39.32,22.91,19.41,58,1,6,20:19:29
2022-06-06 21:18:35,2,3,39.23,22.26,16.88,68,1,6,21:18:35
2022-06-06 22:17:46,2,3,38.44,22.07,15.66,71,1,6,22:17:46
2022-06-06 23:16:56,2,3,41.97,20.68,14.75,73,1,6,23:16:56
2022-06-07 00:16:09,2,3,41.31,20.28,13.87,74,1,7,00:16:09
2022-06-07 01:15:21,2,3,41.75,19.43,13.42,74,1,7,01:15:21
2022-06-07 02:14:33,2,3,42.65,18.73,12.87,76,1,7,02:14:33
2022-06-07 03:13:45,2,3,42.46,18.29,12.14,78,1,7,03:13:45
2022-06-07 04:12:58,2,3,42.62,17.81,11.47,79,1,7,04:12:58
2022-06-07 05:12:08,2,3,45.43,18.15,10.93,80,1,7,05:12:08
2022-06-07 06:11:25,2,3,46.35,18.65,10.75,82,1,7,06:11:25
2022-06-07 07:10:46,2,3,50.87,19.81,12.44,79,1,7,07:10:46
2022-06-07 08:10:22,2,3,45.39,23.2,15.67,74,1,7,08:10:22
2022-06-07 09:09:47,2,3,47.47,26.47,18.47,64,1,7,09:09:47
2022-06-07 10:09:14,2,3,45.6,30.08,21.16,54,1,7,10:09:14
2022-06-07 11:08:36,2,3,41.06,32.13,23.01,53,1,7,11:08:36
2022-06-07 12:07:57,2,3,37.31,33.16,25.18,47,1,7,12:07:57
2022-06-07 13:07:01,2,3,35.86,32.67,26.29,47,1,7,13:07:01
2022-06-07 14:06:09,2,3,34.07,31.46,26.53,46,1,7,14:06:09
2022-06-07 15:05:17,2,3,33.76,30.11,26.79,44,1,7,15:05:17
2022-06-07 16:04:24,2,3,33.41,28.32,25.76,43,1,7,16:04:24
2022-06-07 17:03:33,2,3,34.45,27.21,24.45,46,1,7,17:03:33
2022-06-07 18:02:41,2,3,34.5,26.01,22.95,46,1,7,18:02:41
2022-06-07 19:01:46,2,3,34.76,24.31,21.16,44,1,7,19:01:46
2022-06-07 20:00:55,2,3,33.93,22.81,19.46,43,1,7,20:00:55
2022-06-07 21:00:02,2,3,33.27,22.01,16.99,50,1,7,21:00:02
2022-06-07 21:59:10,2,3,34.23,20.73,15.88,52,1,7,21:59:10
2022-06-07 22:58:20,2,3,35.4,19.57,14.97,56,1,7,22:58:20
2022-06-07 23:57:34,2,3,34.24,19.94,14.2,59,1,7,23:57:34
2022-06-08 00:56:47,2,3,34.89,19.76,13.87,60,1,8,00:56:47
2022-06-08 01:55:59,2,3,36.97,19.07,13.74,59,1,8,01:55:59
2022-06-08 02:55:11,2,3,37.25,18.71,13.69,58,1,8,02:55:11
2022-06-08 03:54:28,2,3,39.05,18.92,13.54,60,1,8,03:54:28
2022-06-08 04:53:41,2,3,37.37,18.77,13.36,58,1,8,04:53:41
2022-06-08 05:52:54,2,3,38.15,18.73,13.24,59,1,8,05:52:54
2022-06-08 06:52:11,2,3,39.1,19.14,14.23,58,1,8,06:52:11
2022-06-08 07:51:48,2,3,39.48,23.21,17.74,47,1,8,07:51:48
2022-06-08 08:51:21,2,3,40.03,27.54,20.25,39,1,8,08:51:21
2022-06-08 09:50:41,2,3,38.38,29.78,21.65,43,1,8,09:50:41
