date,device,hive number,hive humidity,hive temp,weather temp,weather humidity,queen presence,day,time
2022-06-09 18:49:20,2,3,20.73,35.93,27.96,33,1,9,18:49:20
2022-06-09 19:48:31,2,3,27.96,28.52,25.18,41,1,9,19:48:31
2022-06-09 20:47:36,2,3,31.58,26.05,22.52,44,1,9,20:47:36
2022-06-09 21:46:45,2,3,34.94,24.21,20.58,57,1,9,21:46:45
2022-06-09 22:45:55,2,3,39.57,22.92,19.84,61,1,9,22:45:55
2022-06-09 23:45:06,2,3,41.05,22.03,19.07,65,1,9,23:45:06
2022-06-10 00:44:16,2,3,45.4,21.27,18.21,67,1,10,00:44:16
2022-06-10 01:43:29,2,3,45.69,20.54,17.56,69,1,10,01:43:29
2022-06-10 02:42:41,2,3,48.19,20.16,16.96,72,1,10,02:42:41
2022-06-10 03:41:56,2,3,52.17,19.39,16.47,73,1,10,03:41:56
2022-06-10 04:41:06,2,3,52.9,18.88,15.95,75,1,10,04:41:06
2022-06-10 05:40:19,2,3,45.91,18.67,15.9,75,1,10,05:40:19
2022-06-10 06:39:32,2,3,45.21,19.93,17.79,69,1,10,06:39:32
2022-06-10 07:39:02,2,3,45.59,28.35,21.1,62,1,10,07:39:02
2022-06-10 08:38:22,2,3,26.57,40.89,24.18,53,1,10,08:38:22
2022-06-10 09:37:48,2,3,16.92,48.48,26.81,48,1,10,09:37:48
2022-06-10 10:37:17,2,3,11.04,53.66,29.85,41,1,10,10:37:17
2022-06-10 11:36:39,2,3,10.41,51.73,31.86,33,1,10,11:36:39
2022-06-10 12:36:00,2,3,10.38,51.96,33.32,32,1,10,12:36:00
2022-06-10 13:35:11,2,3,11.15,48.63,34.56,30,1,10,13:35:11
2022-06-10 14:34:20,2,3,13.25,41.36,35.4,23,1,10,14:34:20
2022-06-10 15:33:29,2,3,19.68,37.84,34.97,27,1,10,15:33:29
2022-06-10 16:32:41,2,3,24.95,36.18,34.23,31,1,10,16:32:41
2022-06-10 17:45:44,2,3,29.92,34.47,30.9,41,1,10,17:45:44
2022-06-10 18:44:45,2,3,34.46,30.91,27.99,48,1,10,18:44:45
2022-06-10 19:43:51,2,3,33.74,29.14,26.22,51,1,10,19:43:51
2022-06-10 20:42:55,2,3,38.0,27.0,23.93,55,1,10,20:42:55
2022-06-10 21:42:01,2,3,39.16,25.08,22.23,59,1,10,21:42:01
2022-06-10 22:41:10,2,3,43.81,24.14,21.3,61,1,10,22:41:10
2022-06-10 23:40:18,2,3,49.8,22.86,20.85,66,1,10,23:40:18
2022-06-11 00:39:26,2,3,54.6,21.73,19.87,68,1,11,00:39:26
2022-06-11 01:38:34,2,3,53.99,20.7,19.09,71,1,11,01:38:34
2022-06-11 02:37:45,2,3,51.26,19.69,18.23,73,1,11,02:37:45
2022-06-11 03:36:54,2,3,51.11,19.45,17.4,75,1,11,03:36:54
2022-06-11 04:36:04,2,3,52.63,18.91,16.81,77,1,11,04:36:04
2022-06-11 05:35:14,2,3,50.79,18.64,16.33,77,1,11,05:35:14
2022-06-11 06:34:28,2,3,49.37,19.47,16.98,75,1,11,06:34:28
2022-06-11 07:34:47,2,3,48.8,26.9,20.29,68,1,11,07:34:47
2022-06-11 08:33:45,2,3,29.15,40.18,23.93,56,1,11,08:33:45
2022-06-11 09:34:20,2,3,20.9,48.9,26.23,46,1,11,09:34:20
2022-06-11 10:33:55,2,3,10.27,55.62,29.11,35,1,11,10:33:55
2022-06-11 11:33:12,2,3,7.9,54.09,30.8,30,1,11,11:33:12
2022-06-11 12:32:18,2,3,7.23,51.84,31.68,28,1,11,12:32:18
2022-06-11 13:30:47,2,3,12.57,47.36,31.92,34,1,11,13:30:47
2022-06-11 14:29:57,2,3,19.61,39.97,31.93,39,1,11,14:29:57
2022-06-11 15:28:56,2,3,26.58,36.04,31.45,42,1,11,15:28:56
2022-06-11 16:44:58,2,3,33.58,33.51,30.38,46,1,11,16:44:58
2022-06-11 17:44:04,2,3,35.5,32.22,28.73,50,1,11,17:44:04
2022-06-11 18:43:10,2,3,38.54,30.57,27.43,53,1,11,18:43:10
2022-06-11 19:42:07,2,3,44.04,28.5,25.53,59,1,11,19:42:07
2022-06-11 20:41:11,2,3,49.6,25.55,22.5,67,1,11,20:41:11
2022-06-11 21:40:17,2,3,51.92,23.85,21.15,74,1,11,21:40:17
2022-06-11 22:39:24,2,3,54.89,22.73,20.2,76,1,11,22:39:24
2022-06-11 23:38:36,2,3,57.78,21.87,19.4,79,1,11,23:38:36
