date,device,hive number,hive humidity,hive temp,weather temp,weather humidity,queen presence,day,time
2022-06-08 17:22:00,2,3,35.13,30.45,24.49,56,0,8,17:22:00
2022-06-08 18:21:07,2,3,37.52,27.72,22.97,59,0,8,18:21:07
2022-06-08 19:20:13,2,3,40.11,25.74,21.52,61,0,8,19:20:13
2022-06-08 20:19:23,2,3,44.76,23.82,19.4,64,0,8,20:19:23
2022-06-08 21:18:28,2,3,46.68,21.13,17.02,73,0,8,21:18:28
2022-06-08 22:17:37,2,3,44.8,20.07,15.93,78,0,8,22:17:37
2022-06-08 23:16:48,2,3,47.73,19.15,15.27,79,0,8,23:16:48
2022-06-09 00:15:57,2,3,47.68,18.52,14.58,82,0,9,00:15:57
2022-06-09 01:15:07,2,3,52.87,19.25,13.82,81,0,9,01:15:07
2022-06-09 02:14:21,2,3,51.26,17.37,13.54,84,0,9,02:14:21
2022-06-09 03:13:33,2,3,56.87,16.58,12.92,86,0,9,03:13:33
2022-06-09 04:12:46,2,3,59.0,15.9,12.45,87,0,9,04:12:46
2022-06-09 05:11:59,2,3,55.31,15.84,12.11,88,0,9,05:11:59
2022-06-09 06:11:10,2,3,52.1,16.94,11.95,87,0,9,06:11:10
2022-06-09 07:10:29,2,3,52.66,21.38,13.28,85,0,9,07:10:29
2022-06-09 08:09:48,2,3,45.8,29.99,15.54,80,0,9,08:09:48
2022-06-09 09:09:12,2,3,36.74,37.11,17.89,69,0,9,09:09:12
2022-06-09 10:08:31,2,3,23.97,41.55,20.36,61,0,9,10:08:31
2022-06-09 11:07:46,2,3,16.65,50.28,23.74,52,0,9,11:07:46
2022-06-09 12:07:14,2,3,10.59,53.76,27.11,40,0,9,12:07:14
2022-06-09 13:06:37,2,3,8.93,52.26,29.44,34,0,9,13:06:37
2022-06-09 14:05:39,2,3,11.51,43.17,30.09,34,0,9,14:05:39
2022-06-09 15:04:51,2,3,20.01,35.28,30.33,35,0,9,15:04:51
2022-06-09 16:04:05,2,3,20.7,33.79,31.11,31,0,9,16:04:05
2022-06-09 17:03:21,2,3,20.84,32.88,31.11,29,0,9,17:03:21
