Time Stamp,Battery Level,isCharging,Temp In,Temp Out,Hum In,Hum Out
2024-11-2 12:50:42,91,0,29.01,29.25,86.48,87.85

2024-11-2 15:15:26,90,0,24.87,24.32,98.83,100.00
2024-11-2 9:50:43,89,0,24.78,24.06,97.03,100.00
2024-11-2 9:56:0,88,0,24.76,24.00,97.08,100.00
2024-11-2 10:1:17,88,0,24.70,24.00,97.23,100.00
2024-11-2 10:6:35,88,0,24.59,23.91,97.32,100.00
2024-11-2 10:11:52,88,0,24.53,23.91,97.51,100.00
2024-11-2 10:17:9,88,0,24.59,23.93,97.67,100.00
2024-11-2 10:22:26,87,0,24.60,23.93,97.64,100.00
2024-11-2 10:27:43,87,0,24.67,24.01,97.71,100.00
2024-11-2 10:33:0,86,0,24.74,24.02,97.70,100.00
2024-11-2 10:38:17,86,0,24.74,24.02,97.71,100.00
2024-11-2 10:43:34,86,0,24.83,24.01,97.66,100.00
2024-11-2 10:48:52,86,0,24.92,24.04,97.91,100.00
2024-11-2 10:54:9,86,0,24.82,23.97,97.56,100.00
2024-11-2 10:59:26,86,0,24.75,23.99,97.49,100.00
2024-11-2 11:4:43,86,0,24.88,24.09,97.68,100.00
2024-11-2 11:10:0,86,0,25.03,24.04,97.76,100.00
2024-11-2 11:15:17,86,0,24.94,24.01,97.65,100.00
2024-11-2 11:20:34,86,0,25.15,24.02,97.80,100.00
2024-11-2 11:25:51,86,0,25.24,24.08,97.74,100.00
2024-11-2 11:31:8,86,0,25.45,24.10,97.77,100.00
2024-11-2 11:36:26,86,0,25.29,24.12,97.22,100.00
2024-11-2 11:41:43,86,0,25.46,24.12,97.90,100.00
2024-11-2 11:47:0,86,0,25.82,24.15,97.26,100.00
2024-11-2 11:52:17,86,0,25.51,24.09,96.29,100.00
2024-11-2 11:57:34,86,0,25.17,24.08,96.54,100.00
2024-11-2 12:2:51,86,0,25.07,24.06,96.48,100.00
2024-11-2 12:8:8,86,0,25.06,24.04,96.68,100.00
2024-11-2 12:13:26,86,0,25.28,23.97,96.79,100.00
2024-11-2 12:18:43,85,0,25.50,23.95,96.83,100.00
2024-11-2 12:24:0,85,0,25.58,23.92,96.50,100.00
2024-11-2 12:29:17,84,0,25.91,23.96,97.28,100.00
2024-11-2 12:34:34,84,0,26.11,23.97,97.15,100.00
2024-11-2 12:39:51,84,0,26.37,24.02,97.58,100.00
2024-11-2 12:45:8,84,0,26.61,23.96,97.97,100.00
2024-11-2 12:50:26,84,0,26.44,24.05,97.67,100.00
2024-11-2 12:55:43,84,0,26.12,24.04,97.24,100.00
2024-11-2 13:1:0,84,0,26.70,24.02,98.47,100.00
2024-11-2 13:6:17,84,0,26.20,23.97,97.12,100.00
2024-11-2 13:11:34,84,0,25.81,23.96,96.94,100.00
2024-11-2 13:16:51,84,0,25.05,23.96,96.38,100.00
2024-11-2 13:22:8,84,0,24.84,23.96,96.69,100.00
2024-11-2 13:27:26,84,0,24.72,23.94,97.20,100.00
2024-11-2 13:32:43,84,0,24.63,23.95,97.46,100.00
2024-11-2 13:38:0,84,0,24.59,23.93,97.60,100.00
2024-11-2 13:43:17,84,0,25.20,23.94,98.65,100.00
2024-11-2 13:48:34,84,0,25.85,23.98,99.33,100.00
2024-11-2 13:53:51,84,0,26.16,23.92,99.52,100.00
2024-11-2 13:59:8,84,0,25.93,23.91,99.11,100.00
2024-11-2 14:4:25,84,0,25.13,23.94,97.94,100.00
2024-11-2 14:9:42,83,0,24.97,23.95,97.71,100.00
2024-11-2 14:14:59,83,0,24.82,23.92,97.70,100.00
2024-11-2 14:20:17,83,0,24.80,23.92,97.73,100.00
2024-11-2 14:25:34,83,0,24.83,23.90,97.74,100.00
2024-11-2 14:30:51,83,0,25.21,23.82,98.17,100.00
2024-11-2 14:36:8,83,0,25.13,23.80,97.88,100.00
2024-11-2 14:41:25,83,0,25.59,23.74,98.68,100.00
2024-11-2 14:46:42,83,0,26.03,23.79,98.34,100.00
2024-11-2 14:51:59,83,0,26.37,23.87,99.08,100.00
2024-11-2 14:57:16,81,0,26.57,23.88,99.31,100.00
2024-11-2 15:2:34,80,0,26.94,23.91,99.79,100.00
2024-11-2 15:7:51,80,0,26.95,23.93,99.04,100.00
2024-11-2 15:13:8,80,0,27.04,23.99,99.13,100.00
2024-11-2 15:18:25,80,0,26.93,23.94,98.86,100.00
2024-11-2 15:23:42,80,0,26.96,23.92,98.96,100.00
2024-11-2 15:28:59,80,0,26.28,23.90,97.89,100.00
2024-11-2 15:34:16,80,0,25.91,23.89,98.10,100.00
2024-11-2 15:39:33,80,0,25.80,23.85,98.26,100.00
2024-11-2 15:44:51,80,0,26.20,23.91,98.31,100.00
2024-11-2 15:50:8,80,0,26.78,23.96,99.11,100.00
2024-11-2 15:55:25,80,0,26.08,23.93,97.44,100.00
2024-11-2 16:0:42,80,0,25.55,23.91,97.45,100.00
2024-11-2 16:5:59,80,0,25.30,23.91,97.18,100.00
2024-11-2 16:11:16,80,0,25.56,23.90,97.63,100.00
2024-11-2 16:16:33,80,0,25.76,23.90,97.61,100.00
2024-11-2 16:21:51,80,0,26.55,23.96,98.45,100.00
2024-11-2 16:27:8,80,0,26.72,24.05,98.51,100.00
2024-11-2 16:32:25,80,0,26.70,24.04,98.55,100.00
2024-11-2 16:37:42,80,0,26.99,24.17,99.01,100.00
2024-11-2 16:42:59,80,0,27.07,24.15,98.90,100.00
2024-11-2 16:48:16,80,0,26.95,24.12,98.66,100.00
2024-11-2 16:53:34,80,0,26.07,24.14,97.31,100.00
2024-11-2 16:58:51,80,0,25.81,24.13,97.39,100.00
2024-11-2 17:4:8,80,0,25.34,24.03,96.88,100.00
2024-11-2 17:9:25,80,0,25.38,23.99,96.97,100.00
2024-11-2 17:14:42,80,0,25.41,23.99,97.23,100.00
2024-11-2 17:19:59,80,0,25.32,23.93,97.23,100.00
2024-11-2 17:25:17,80,0,25.40,23.98,97.26,100.00
2024-11-2 17:30:34,80,0,25.62,23.98,97.73,100.00
2024-11-2 17:35:51,80,0,25.94,23.97,98.50,100.00
2024-11-2 17:41:8,80,0,26.12,24.00,98.81,100.00
