date,device,hive number,hive humidity,hive temp,weather temp,weather humidity,queen presence,day,time
2022-06-13 18:08:05,1,5,28.22,25.73,,0,1,13,18:08:05
2022-06-13 19:07:11,1,5,22.8,28.01,21.44,38,1,13,19:07:11
2022-06-13 20:06:14,1,5,28.1,26.89,19.06,48,1,13,20:06:14
2022-06-13 21:05:17,1,5,33.06,24.71,16.57,55,1,13,21:05:17
2022-06-13 22:04:26,1,5,35.02,23.02,15.82,62,1,13,22:04:26
2022-06-13 23:03:36,1,5,36.51,21.92,15.02,65,1,13,23:03:36
2022-06-14 00:02:46,1,5,38.27,21.41,14.26,68,1,14,00:02:46
2022-06-14 01:01:54,1,5,37.98,21.36,13.63,69,1,14,01:01:54
2022-06-14 02:01:04,1,5,38.12,20.88,12.95,72,1,14,02:01:04
2022-06-14 03:00:15,1,5,38.58,20.81,12.27,75,1,14,03:00:15
2022-06-14 03:59:27,1,5,37.86,21.18,11.87,76,1,14,03:59:27
2022-06-14 04:58:40,1,5,38.02,21.0,11.58,78,1,14,04:58:40
2022-06-14 05:57:50,1,5,39.05,21.7,11.44,78,1,14,05:57:50
2022-06-14 06:57:25,1,5,38.21,22.96,13.76,72,1,14,06:57:25
2022-06-14 07:57:11,1,5,39.21,25.79,17.37,64,1,14,07:57:11
2022-06-14 08:56:49,1,5,37.19,30.05,20.02,52,1,14,08:56:49
2022-06-14 09:56:21,1,5,30.3,33.83,22.65,44,1,14,09:56:21
2022-06-14 10:55:49,1,5,24.44,36.92,24.7,37,1,14,10:55:49
2022-06-14 11:55:10,1,5,20.87,39.09,26.5,35,1,14,11:55:10
2022-06-14 12:53:59,1,5,17.0,40.31,28.06,29,1,14,12:53:59
2022-06-14 13:52:40,1,5,15.32,39.14,28.86,25,1,14,13:52:40
2022-06-14 14:51:53,1,5,16.35,36.77,29.54,23,1,14,14:51:53
2022-06-14 15:50:57,1,5,13.76,35.18,29.49,23,1,14,15:50:57
2022-06-14 16:50:02,1,5,20.93,32.8,28.53,25,1,14,16:50:02
2022-06-14 17:49:06,1,5,23.93,31.94,27.39,31,1,14,17:49:06
